Number;Id;Unique Id;Company Name;Company owner;Company purpose;First adressline;second adressline;Country;Foreign Zip Code;House number;Street;Dwelling number;Locality;Swiss zipcode add on;Swiss zipcode;
0;152404346;CH03630520908;ABS Immobilien AG;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Unterseen;CH;null;111;Beatenbergstrasse;null;null;null;3800;
1;152218714;CH13020191402;mega-plast Kunststofftechnik Heinrich Rico Bertoli;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Feusisberg;CH;null;14;Rohnenstrasse;null;null;null;8835;
2;152218766;CH50140165039;Rinnova Sagl;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Gordola;CH;null;19;Via Sasso Misocco;null;null;null;6596;
3;152220102;CH02090018737;AquaPura AG;No Owner Found;;null;null;Zürich;CH;null;64;Waffenplatzstrasse;null;null;null;8002;
4;152220645;CH28030172514;JGLA Immobilien AG;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Aesch BL;CH;null;2;Höhenweg;null;null;null;4147;
5;152224614;CH17040103632;Aplanis Consulting GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;c/o Vitop Consulting AG;Zug;CH;null;6;Poststrasse;null;null;null;6301;
6;152226613;CH27010179040;Eschmann Consulting;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Riehen;CH;null;112B;Burgstr.;null;null;null;4125;
7;152228345;CH13010241094;WRIGHT CONSULTING;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Gersau;CH;null;3a;Stockbachweg;null;null;null;6442;
8;152228598;CH66013100170;CHARLES-PELLAT YVES;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Meyrin;CH;null;67;rue des Lattes;null;null;null;1217;
9;152231608;CH24110148027;Roth Reinigungsdienste;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Luterbach;CH;null;5;Bürgerstrasse;null;null;null;4542;
10;152233004;CH55011675431;Silverinnov Sàrl en liquidation;Kanton service not implemented yet;Kanton service not implemented yet;null;c/o Yves Torjman;Belmont-Lausanne;CH;null;6;Chemin de Champ Pevy;null;null;null;1092;
11;152233524;CH17030376150;Chronext AG;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Zug;CH;null;9;Feldpark;null;null;null;6300;
12;152241274;CH02040634169;Green Place Import GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Pfäffikon ZH;CH;null;1;Bürglenstrasse;null;null;null;8330;
13;152241819;CH32030771174;ZOLMAR AG;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Goldach;CH;null;14;Kleestrasse;null;null;null;9403;
14;152241854;CH32010797258;monica nodiroli's baschtelhuette.ch;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Sevelen;CH;null;30;Badstrasse;null;null;null;9475;
15;152242517;CH17040159462;Sionix GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Zug;CH;null;172;Chamerstrasse;null;null;null;6300;
16;152242865;CH02040646446;Prime Elektro GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Fahrweid;CH;null;9;Fahrweidstrasse;null;null;null;8951;
17;152243000;CH24110134437;Allroundservice Erwin Marbacher;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Hägendorf;CH;null;16;Haselweg;null;null;null;4614;
18;152244568;CH50160150525;Swiss e PRIX Lugano;Kanton service not implemented yet;Kanton service not implemented yet;null;c/o Dicastero Sport Città di Lugano;Lugano;CH;null;100;Via Trevano;null;null;null;6900;
19;152245415;CH30030181684;Good Air AG;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Herisau;CH;null;43;Walke;null;null;null;9100;
20;152245734;CH64541167268;Gobalet Decoster Sàrl;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Neuchâtel;CH;null;7;avenue Jean-Jacques-Rousseau;null;null;null;2000;
21;152246751;CH55011654569;BONZEL SA;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Lausanne;CH;null;10;Place de la Gare;null;null;null;1003;
22;152248885;CH66013390174;Calak Ali;Kanton service not implemented yet;Kanton service not implemented yet;null;null;La Plaine;CH;null;75;route de La-Plaine;null;null;null;1283;
23;152250942;CH02010721175;schloddel Grit Hofmann;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Grüningen;CH;null;1;Zelgmatt;null;null;null;8627;
24;152251315;CH66022920145;Jean Barber shop Sàrl;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Genève;CH;null;2;boulevard du Pont-d'Arve;null;null;null;1205;
25;152254302;CH32030799934;ISP Immobilien Service Partner AG;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Bad Ragaz;CH;null;9;Saschielstrasse;null;null;null;7310;
26;152255187;CH03610605649;studer 26 Software Engineering;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Oberönz;CH;null;10;Sandackerweg;null;null;null;3363;
27;152256494;CH03640500002;FFP Image GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Lyss;CH;null;19;Tulpenweg;null;null;null;3250;
28;152257855;CH13040229101;Hasler Architektur GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Einsiedeln;CH;null;1;Amaliengasse;null;null;null;8840;
29;152257884;CH40044444123;Kosmetik + Podologie Dort GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Fislisbach;CH;null;17;Badenerstrasse;null;null;null;5442;
30;152258872;CH17030353118;Tidesea AG;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Fribourg;CH;null;29/31;Rue de Romont;null;null;null;1700;
31;152260188;CH28040207653;e-Agency GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Oberwil BL;CH;null;151;Hohestrasse;null;null;null;4104;
32;152260863;CH27040054898;G.S.F. Armierungen GmbH;No Owner Found;No Owner Found;null;null;Basel;CH;null;122;Fasanenstr.;null;null;null;4058;
33;152261093;CH50140164028;Snack Gelsomino Sagl in liquidazione;Kanton service not implemented yet;Kanton service not implemented yet;null;c/o Liberato Varra;San Vittore;CH;null;null;null;null;null;null;6534;
34;152261147;CH03630639933;CH Baumanagement AG;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Bern;CH;null;16;Seftigenstrasse;null;null;null;3007;
35;152261520;CH66027370124;The Tamari Foundation;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Genève;CH;null;1;Place de Saint-Gervais;null;null;null;1201;
